,func,args,kwargs,exec_time,res
0,calc_a_line_large,"(0,)",{},0.028269529342651367,"[-148.27804742  -21.07393565  121.61612768 ...  -54.31319525   24.73537458
  -50.41059962]"
1,calc_a_line_large,"(1,)",{},0.029607534408569336,"[101.01427547  46.2548303  -39.30043569 ...  25.70911567 -51.15757428
 -29.11510455]"
2,calc_a_line_large,"(2,)",{},0.02945423126220703,"[123.55361766 -37.44681831 -19.96556746 ... -44.57204772  34.46393536
 107.19803579]"
3,calc_a_line_large,"(3,)",{},0.03206300735473633,"[ 29.65884735 -21.47738753 -26.57703935 ... -23.95165902 151.63065901
 -66.74472072]"
4,calc_a_line_large,"(4,)",{},0.040837764739990234,"[ -8.39754948 -53.39453211 -25.37073741 ...  48.24424774  -4.21934455
  -1.84813457]"
5,calc_a_line_large,"(5,)",{},0.09095311164855957,"[ 75.87029262 -24.45879919 -40.73920767 ... -59.53648674  12.12537694
 -64.80503655]"
6,calc_a_line_large,"(6,)",{},0.049096107482910156,"[-47.83776952 -10.82100868  71.85147048 ... -60.48703834 103.8283369
 -74.37777533]"
7,calc_a_line_large,"(7,)",{},0.049016475677490234,"[ -39.10491881   17.19157797   48.00789619 ...   84.24018152  -86.20088602
 -130.52271743]"
8,calc_a_line_large,"(8,)",{},0.048929691314697266,"[-182.03031471  118.64731527  -18.07923581 ...  -67.85343384  -16.3999046
   59.53973517]"
9,calc_a_line_large,"(9,)",{},0.05663299560546875,"[  33.37414334   31.62946908   50.36946234 ...  -49.53991986   22.77908228
 -110.78458139]"
10,calc_a_line_large,"(10,)",{},0.05763983726501465,"[-128.63923511  123.02784728  -40.04557721 ...  104.45184772   32.62374679
  -19.61164838]"
11,calc_a_line_large,"(11,)",{},0.07283353805541992,"[-40.30570816 -38.9595469  -12.19320384 ... -30.64715163  22.46985664
 -40.78599497]"
12,calc_a_line_large,"(12,)",{},0.04868149757385254,"[101.2357278  118.83595729   2.10663404 ... -77.32051738  10.16168148
  11.9203457 ]"
13,calc_a_line_large,"(13,)",{},0.08942770957946777,"[-133.3451951   -53.64261767  -66.5565921  ...   -0.79596687   27.42014533
  -22.05390915]"
14,calc_a_line_large,"(14,)",{},0.05861473083496094,"[23.49814717  6.21367675 14.93363048 ... 14.40589144 20.01571887
 11.24006324]"
